"Hotel Name",Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax
The Orchid Hotel Mumbai Vile Parle,4,Very Good,5593,5,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,930 m ,"6,499",780
Trident Bandra Kurla,4.6,Excellent,4987,5,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,7.8 km ,"8,750",
ITC Grand Central - A Luxury Collection Hotel,4.5,Excellent,2445,5,South Mumbai ,Cooper hospital,620 m ,"14,000",
IRA By Orchid Mumbai ( VITS Mumbai),3.9,Very Good,4707,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,"5,099",612
Trident Nariman Point,4.6,Excellent,5563,5,Marine Drive ,Queen's Necklace - Marine Drive,470 m ,"11,250",
The Lalit Mumbai,4.1,Very Good,6468,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.3 km ,"11,160","3,000"
"Ginger Mumbai, Andheri East",3.7,Very Good,5340,4,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.3 km ,"3,679",
"Taj Santacruz, Mumbai",4.6,Excellent,4563,5,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,560 m ,"9,000",
Hotel Surya Prakash,3.9,Very Good,121,3,Chembur,,,"3,939",968
Hilton Mumbai International Airport,4.2,Very Good,1686,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.6 km ,"9,100",
Holiday Inn Mumbai International Airport,4.3,Excellent,2744,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.0 km ,"6,999",
goSTOPS Mumbai - Rooms & Dorms,3.9,Very Good,1376,,South Mumbai,,,816,211
The Regale by Tunga,4.1,Very Good,4946,3,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,"4,427",932
"Taj Lands End, Mumbai",4.5,Excellent,4222,5,Bandra West ,Band Stand,230 m ,"11,000",
"Ramada Plaza By Wyndham Palm Grove, Juhu, Mumbai",4.1,Very Good,7206,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,"7,095","2,136"
Sahara Star,4.2,Very Good,7303,5,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,760 m ,"10,400","1,872"
Qubestay Airport Capsule Hostel | Rooms & Dorms,3.8,Very Good,632,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,"1,160",341
Courtyard by Marriott Mumbai International Airport,4.3,Excellent,1829,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.3 km ,"7,500",
The Westin Mumbai Garden City,4.4,Excellent,1431,5,Goregaon ,T1 - Chhatrapati Shivaji International Airport,9.5 km ,"9,000",
JW Marriott Mumbai Juhu,4.4,Excellent,1731,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.5 km ,"12,500",
ITC Maratha - A Luxury Collection Hotel,4.4,Excellent,4680,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.4 km ,"10,030",
City Stay,4.6,Excellent,214,,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.7 km ,"1,229",370
